Date,CO2,Temp
1983.0411,341.4,12.290564
1983.126,342.54,12.536253
1983.2027,343.12,13.220772
1983.2877,344.96,14.084862
1983.3699,345.78,15.12825
1983.4548,345.34,15.716963
1983.537,344,15.912945
1983.6219,342.4,15.861922
1983.7068,339.89,15.2493
1983.789,340,13.971046
1983.874,341.16,13.016262
1983.9562,342.99,12.241461
1984.041,343.82,12.039797
1984.1257,344.62,12.171723
1984.2049,345.38,13.016247
1984.2896,347.14,13.892514
1984.3716,347.52,15.046703
1984.4563,346.88,15.476922
1984.5383,345.47,15.697618
1984.623,343.34,15.673098
1984.7077,341.13,14.960199
1984.7896,341.4,13.924381
1984.8743,343.02,12.717665
1984.9563,344.25,12.062133
1985.0411,344.99,12.019401
1985.126,346.01,12.034621
1985.2027,347.43,12.878293
1985.2877,348.34,13.88891
1985.3699,348.92,14.824667
1985.4548,348.24,15.516408
1985.537,346.53,15.693827
1985.6219,344.64,15.717453
1985.7068,343.06,14.925416
1985.789,342.77,13.799597
1985.874,344.21,12.776427
1985.9562,345.53,12.1195345
1986.0411,346.28,12.0092945
1986.126,346.93,12.351048
1986.2027,347.83,12.996208
1986.2877,349.53,14.061669
1986.3699,350.19,14.992249
1986.4548,349.54,15.534784
1986.537,347.92,15.780972
1986.6219,345.88,15.67441
1986.7068,344.83,14.919343
1986.789,344.15,13.852506
1986.874,345.64,12.869011
1986.9562,346.88,12.218266
1987.0411,348,12.108788
1987.126,348.47,12.440135
1987.2027,349.41,12.927666
1987.2877,350.97,14.027365
1987.3699,351.84,14.9888
1987.4548,351.25,15.791557
1987.537,349.5,16.14033
1987.6219,348.08,15.840831
1987.7068,346.44,15.22218
1987.789,346.09,14.10014
1987.874,347.54,12.997136
1987.9562,348.69,12.539485
1988.041,350.16,12.3108425
1988.1257,351.47,12.3961935
1988.2049,351.96,13.217022
1988.2896,353.33,14.172643
1988.3716,353.97,15.159114
1988.4563,353.55,15.825962
1988.5383,352.14,16.032255
1988.623,350.19,15.945123
1988.7077,348.5,15.258968
1988.7896,348.66,14.094823
1988.8743,349.85,12.80141
1988.9563,351.12,12.295782
1989.0411,352.55,11.845773
1989.126,352.86,12.392604
1989.2027,353.48,13.0517025
1989.2877,355.21,14.04663
1989.3699,355.47,14.854269
1989.4548,354.92,15.576558
1989.537,353.7,15.991828
1989.6219,351.47,15.790016
1989.7068,349.61,15.163349
1989.789,349.79,14.071519
1989.874,351.1,12.880336
1989.9562,352.32,12.425534
1990.0411,353.46,12.211811
1990.126,354.5,12.454428
1990.2027,355.19,13.4817915
1990.2877,356,14.309105
1990.3699,356.96,15.244974
1990.4548,356.04,15.798378
1990.537,354.62,16.15146
1990.6219,352.71,15.945538
1990.7068,350.77,15.215678
1990.789,350.99,14.288079
1990.874,352.64,13.249869
1990.9562,354.02,12.515894
1991.0411,354.53,12.276068
1991.126,355.55,12.606778
1991.2027,356.96,13.156142
1991.2877,358.4,14.238818
1991.3699,359.14,15.084843
1991.4548,358.04,16.010637
1991.537,355.98,16.181702
1991.6219,353.81,15.971901
1991.7068,351.95,15.244394
1991.789,352.02,14.098022
1991.874,353.55,13.012109
1991.9562,354.79,12.32846
1992.041,355.79,12.231627
1992.1257,356.53,12.478681
1992.2049,357.61,13.161902
1992.2896,358.95,13.942003
1992.3716,359.46,14.922943
1992.4563,359.06,15.660099
1992.5383,356.82,15.767719
1992.623,354.8,15.62337
1992.7077,352.81,14.83713
1992.7896,353.11,13.844924
1992.8743,353.96,12.752545
1992.9563,355.2,12.202133
1993.0411,356.5,12.134252
1993.126,356.97,12.4209
1993.2027,358.18,13.045327
1993.2877,359.26,14.035608
1993.3699,360.08,14.966328
1993.4548,359.4,15.680171
1993.537,357.38,15.878973
1993.6219,355.33,15.727078
1993.7068,353.5,14.929635
1993.789,353.8,14.016053
1993.874,355.15,12.827846
1993.9562,356.62,12.312581
1994.0411,358.19,12.046262
1994.126,358.73,12.093141
1994.2027,359.79,12.990586
1994.2877,361.09,14.081033
1994.3699,361.52,14.913115
1994.4548,360.78,15.728785
1994.537,359.38,15.954261
1994.6219,357.31,15.727217
1994.7068,355.68,15.207548
1994.789,355.83,14.154319
1994.874,357.42,13.120945
1994.9562,358.87,12.393423
1995.0411,359.81,12.312786
1995.126,360.84,12.794768
1995.2027,361.48,13.173241
1995.2877,363.3,14.2422285
1995.3699,363.64,15.026375
1995.4548,363.11,15.896709
1995.537,361.74,16.124992
1995.6219,359.31,16.0046
1995.7068,357.91,15.245651
1995.789,357.62,14.251412
1995.874,359.42,13.146138
1995.9562,360.56,12.324951
1996.041,361.91,12.082377
1996.1257,363.11,12.5073805
1996.2049,363.89,13.098656
1996.2896,364.58,14.017101
1996.3716,365.29,14.894354
1996.4563,364.84,15.666989
1996.5383,363.52,16.022491
1996.623,361.35,15.999944
1996.7077,359.32,15.118699
1996.7896,359.48,14.006022
1996.8743,360.64,13.150876
1996.9563,362.21,12.419477
1997.0411,363.06,12.072584
1997.126,363.87,12.41506
1997.2027,364.44,13.238771
1997.2877,366.23,14.033609
1997.3699,366.68,15.0091505
1997.4548,365.52,15.902745
1997.537,364.36,16.056839
1997.6219,362.39,15.977495
1997.7068,360.08,15.381611
1997.789,360.67,14.393439
1997.874,362.32,13.352066
1997.9562,364.17,12.617562
1998.0411,365.22,12.393917
1998.126,366.04,12.883618
1998.2027,367.2,13.373654
1998.2877,368.5,14.482419
1998.3699,369.19,15.439772
1998.4548,368.77,16.165981
1998.537,367.53,16.350664
1998.6219,365.68,16.25292
1998.7068,363.8,15.39345
1998.789,364.13,14.2686615
1998.874,365.36,13.131292
1998.9562,366.87,12.578034
1999.0411,368.05,12.214922
1999.126,368.77,12.681481
1999.2027,369.49,13.018255
1999.2877,371.04,14.058055
1999.3699,370.9,14.964205
1999.4548,370.25,15.750581
1999.537,369.17,16.026947
1999.6219,366.83,15.873902
1999.7068,364.54,15.245566
1999.789,365.04,14.144938
1999.874,366.58,13.067305
1999.9562,367.92,12.441841
2000.041,369.05,12.052316
2000.1257,369.37,12.592969
2000.2049,370.42,13.190486
